username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
zaa_zahid;2016-05-05 03:07;0;0;"@bikedb06 @ScottHood_ @ArRuple @TellMamaUK if you was not talking about peaceful people, why was you discussing sadiq Khan ? he not peaceful?";;@bikedb06 @ScottHood_ @ArRuple @TellMamaUK;;"727937648082472960";https://twitter.com/zaa_zahid/status/727937648082472960
rrCamden;2016-05-05 03:07;0;0;"Sadiq Khan Live On LBC: Watch From 11am http://www. rightrelevance.com/search/article s/hero?article=72f5ac57fcf9b1285aa235e7234a269b74f84dc1&query=london%20borough%20of%20camden&taccount=rrcamden … pic.twitter.com/maaD8EOskz";;;;"727937602771263488";https://twitter.com/rrCamden/status/727937602771263488
SSWolfgard;2016-05-05 03:06;0;0;"If #SadiqKhan loses will he be leaving for tel aviv? #georgegalloway for #LondonMayor2016";;;#SadiqKhan #georgegalloway #LondonMayor2016;"727937501600550912";https://twitter.com/SSWolfgard/status/727937501600550912
RTaylor_LibDem;2016-05-05 03:06;1;0;"Actually years ago! I guess @CarolinePidgeon should be flattered that @SadiqKhan is stealing her ideas.... https:// twitter.com/LynCollett/sta tus/727920646014025728 …";;@CarolinePidgeon @SadiqKhan;;"727937459431059457";https://twitter.com/RTaylor_LibDem/status/727937459431059457
CommuterCurd;2016-05-05 03:06;0;0;"@Jmroberts343Jmr @LBC @theousherwood @SadiqKhan By the way, it's good to see empty bike lanes after 25 seconds, means no jam i assume?";;@Jmroberts343Jmr @LBC @theousherwood @SadiqKhan;;"727937443924725761";https://twitter.com/CommuterCurd/status/727937443924725761
jayneyb808;2016-05-05 03:06;0;0;"@SadiqKhan @eddieizzard @ChukaUmunna @wesstreeting @OwenJones84 So how do u propose to control that 'free market' ?";;@SadiqKhan @eddieizzard @ChukaUmunna @wesstreeting @OwenJones84;;"727937423146164225";https://twitter.com/jayneyb808/status/727937423146164225
wisermann;2016-05-05 03:06;0;0;"@its_the_wifes @SadiqKhan @gwenifill @greta @erictrump Mandela's ANC deems Israel mor racist than S.Africa was http://www. washingtonsblog.com/2014/07/south- african-leaders-israeli-apartheid-state.html …";;@its_the_wifes @SadiqKhan @gwenifill @greta @erictrump;;"727937380296990720";https://twitter.com/wisermann/status/727937380296990720
miksabiers;2016-05-05 03:06;2;1;"Top eve of poll #LabourDoorstep in sunny South Acton backing @SadiqKhan #ReadyForKhan pic.twitter.com/BCVfIm9CHQ";;@SadiqKhan;#LabourDoorstep #ReadyForKhan;"727937375054254081";https://twitter.com/miksabiers/status/727937375054254081
SebDance;2016-05-05 03:06;7;10;"Eve of poll #TeamKhan phone bank - contacted lots of very enthusiastic @SadiqKhan supporters! pic.twitter.com/qiU5YOvQou";;@SadiqKhan;#TeamKhan;"727937364404928512";https://twitter.com/SebDance/status/727937364404928512
ojuffssi;2016-05-05 03:05;0;0;"RT: nytimesworld :Londoners decide whether to elect Sadiq Khan , Labour front-runner, on Thursday. He'd be their fi… https://";;;;"727937290757083141";https://twitter.com/ojuffssi/status/727937290757083141
Shinyrehman;2016-05-05 03:05;0;0;"SADIQ KHAN !!! Go ahead https:// twitter.com/nytimesworld/s tatus/727924518384193536 …";;;;"727937288706101249";https://twitter.com/Shinyrehman/status/727937288706101249
adriandoran;2016-05-05 03:05;4;2;"former Conservative candidate reveals how she was made to feel unwelcome in the party - and endorses Sadiq Khan http:// ow.ly/4npzr8";;;;"727937189091409920";https://twitter.com/adriandoran/status/727937189091409920
denthemen49;2016-05-05 03:05;3;0;"@fbunational @JonCruddas_1 @SadiqKhan @LondonFire @LondonFBU Good lord!Pls don't peddle that SK is going2be the new messiah for Fire Service";;@fbunational @JonCruddas_1 @SadiqKhan @LondonFire @LondonFBU;;"727937168631574528";https://twitter.com/denthemen49/status/727937168631574528
thegrimescene;2016-05-05 03:05;0;0;"Great piece by my MP @TulipSiddiq . Proud 2 have her represent my area; looking 4wd 2 @SadiqKhan representing my city http://www. independent.co.uk/voices/the-rea lity-of-being-a-muslim-mp-smear-campaigns-outside-mosques-and-being-told-to-change-my-name-a7013136.html …";;@TulipSiddiq @SadiqKhan;;"727937156849774593";https://twitter.com/thegrimescene/status/727937156849774593
AliPicton;2016-05-05 03:05;8;20;"Barnstorming speech by @LukeFrancis88 to 100+ volunteers at our #TeamKhan phonebank for @SadiqKhan #ReadyForKhan pic.twitter.com/RsXRTxKTOb";;@LukeFrancis88 @SadiqKhan;#TeamKhan #ReadyForKhan;"727937108434948097";https://twitter.com/AliPicton/status/727937108434948097
geezabrekayenaw;2016-05-05 03:04;0;0;"@SadiqKhan @eddieizzard how? Where are the ordinary hard working people going to get the money from to buy them? Not from you, nor the bank";;@SadiqKhan @eddieizzard;;"727936967078465536";https://twitter.com/geezabrekayenaw/status/727936967078465536
SSWolfgard;2016-05-05 03:04;0;0;"If #SadiqKhan wins attack Corbyn If #SadiqKhan loses blame Corbyn I'm voting #georgegalloway for #LondonMayor2016";;;#SadiqKhan #SadiqKhan #georgegalloway #LondonMayor2016;"727936864573898754";https://twitter.com/SSWolfgard/status/727936864573898754
davederosemusic;2016-05-05 03:03;1;3;"@SadiqKhan @eddieizzard @ChukaUmunna @wesstreeting @OwenJones84 I'll believe it when I see it! You got my vote tomorrow so you can prove it!";;@SadiqKhan @eddieizzard @ChukaUmunna @wesstreeting @OwenJones84;;"727936808357605377";https://twitter.com/davederosemusic/status/727936808357605377
maxrushden;2016-05-05 03:03;0;1;"@DMarsti @SadiqKhan I prefer him. Think the tory campaign has been v negative";;@DMarsti @SadiqKhan;;"727936772596994048";https://twitter.com/maxrushden/status/727936772596994048
RichardAngell;2016-05-05 03:03;7;8;"I have been to 18 London CLPs for @SadiqKhan 's mayoral bid with the @ProgressOnline @Lab3seats teams #Labourdoorstep http:// prog.rs/storify";;@SadiqKhan @ProgressOnline @Lab3seats;#Labourdoorstep;"727936682046132224";https://twitter.com/RichardAngell/status/727936682046132224
RachelSmethers;2016-05-05 03:03;1;0;"If @SadiqKhan doesn't win will be massive upset for many pollsters. @benatipsosmori #DigiMayor";;@SadiqKhan @benatipsosmori;#DigiMayor;"727936677130469376";https://twitter.com/RachelSmethers/status/727936677130469376
