username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
iossocial;2016-05-04 20:59;0;0;"@sudip_1977 @AmandeepBhogal @ZacGoldsmith except more mosques and sharia law coming your way";;@sudip_1977 @AmandeepBhogal @ZacGoldsmith;;"727845145392103424";https://twitter.com/iossocial/status/727845145392103424
jackstevedore;2016-05-04 20:59;0;0;"@JamesCleverly @ZacGoldsmith @BackZac4London 'out with Zac' he won't even get in, fellow tories have seen to that #blueonblue";;@JamesCleverly @ZacGoldsmith @BackZac4London;#blueonblue;"727845123896320000";https://twitter.com/jackstevedore/status/727845123896320000
iossocial;2016-05-04 20:59;0;0;"@sudip_1977 @AmandeepBhogal @ZacGoldsmith what are you talking about?! And you really want a jihadist affiliated mayor leading London?";;@sudip_1977 @AmandeepBhogal @ZacGoldsmith;;"727845078241284097";https://twitter.com/iossocial/status/727845078241284097
JamesCleverly;2016-05-04 20:59;11;17;"Selfie in the sunshine, me @ZacGoldsmith and @GarethBaconAM in #Erith #Bexley pic.twitter.com/wHe3nB6Df4";;@ZacGoldsmith @GarethBaconAM;#Erith #Bexley;"727845041864069121";https://twitter.com/JamesCleverly/status/727845041864069121
richard75941061;2016-05-04 20:58;0;0;"@xeccar @Reprobatemum @ZacGoldsmith Then your investment was much less than a black taxi drivers. You are more free to move careers.V.lucky";;@xeccar @Reprobatemum @ZacGoldsmith;;"727844930148773888";https://twitter.com/richard75941061/status/727844930148773888
xeccar;2016-05-04 20:58;0;0;"@richard75941061 @Reprobatemum @ZacGoldsmith I'd say cabbying is more long-term given the time investment required.";;@richard75941061 @Reprobatemum @ZacGoldsmith;;"727844905054261248";https://twitter.com/xeccar/status/727844905054261248
kevinrye;2016-05-04 20:58;0;0;"@BorisJohnson @ZacGoldsmith @LyntonKCrosby https:// twitter.com/JamesMelville/ status/727835317416431616 …";;@BorisJohnson @ZacGoldsmith @LyntonKCrosby;;"727844871617253376";https://twitter.com/kevinrye/status/727844871617253376
mistertrent;2016-05-04 20:58;0;0;"@bryanadams @ZacGoldsmith I JUST SET FIRE TO MY STRATOCASTER. RUN TO THAT MATE.";;@bryanadams @ZacGoldsmith;;"727844839354683392";https://twitter.com/mistertrent/status/727844839354683392
POLITICOEurope;2016-05-04 20:58;3;3;"London Evening Standard endorses Zac Goldsmith for Mayor http:// politi.co/1TtF3Gj pic.twitter.com/X7AkdWIEHK";;;;"727844779615236096";https://twitter.com/POLITICOEurope/status/727844779615236096
BrendonHope;2016-05-04 20:58;0;0;"@David_Cameron @ZacGoldsmith it's like a cock sandwich but with the bread replaced with extra cocks.";;@David_Cameron @ZacGoldsmith;;"727844762217230337";https://twitter.com/BrendonHope/status/727844762217230337
London_Silvia;2016-05-04 20:58;0;0;"The evening news here is that @standardnews has endorsed Zac Goldsmith - read: http:// politi.co/1TtF3Gj via @POLITICOEurope #LondonMayor2016";;@standardnews @POLITICOEurope;#LondonMayor2016;"727844733956050945";https://twitter.com/London_Silvia/status/727844733956050945
buchanan17;2016-05-04 20:57;0;0;"@NaraHodge @TheOnlyGuru @ZacGoldsmith except he doesn't want airport expansion....which is essential for a prosperous London...";;@NaraHodge @TheOnlyGuru @ZacGoldsmith;;"727844718781059072";https://twitter.com/buchanan17/status/727844718781059072
tvtenterhooks;2016-05-04 20:57;0;0;"@ZacGoldsmith have you guys properly paid for this bus this time? Because that would be swell. Just swell.";;@ZacGoldsmith;;"727844666117378048";https://twitter.com/tvtenterhooks/status/727844666117378048
